uid,uof_uid,tracking_id_og,tracking_id,investigation_status,service_type,light_condition,weather_condition,shift_time,disposition,division,division_level,unit,originating_bureau,use_of_force_description,use_of_force_level,use_of_force_effective,age,years_of_service,officer_injured,agency,use_of_force_reason
a042d6fea69735fbc814a5aba9df464c,00074427f0aa1da6cd9e81c852bd7581,ftn2018-0235,3f8c2b12e9354193fb7a532bf8ddeb02,Completed,arresting,good,clear conditions,between 11pm-7am,use of force justified,c platoon,5th district,patrol,field operations bureau,takedown (no injury),l1,yes,31,12,No,new-orleans-pd,resisted lawful arrest
cd259eeed4cf4cf2c1e5b39d128b7d66,002e7eb251b6a05747652cf76572d0c5,ftn2016-0622,c7fa81ca89db180d25a5c05d996714e8,Completed,arresting,good,clear conditions,,use of force authorized,narcotics,8th district,,field operations bureau,hands,l1,yes,39,8,No,new-orleans-pd,resisted lawful arrest
2d74ab4c1cee262f4aee0a452bb88e54,0047629b6e67816b24ff9e97c8162862,ftn2021-0082,da482fa33f5ed5a3deb00540182eed48,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,6th district,patrol,field operations bureau,hands (with injury),l2,yes,35,5,Yes,new-orleans-pd,flight from an officer
d253a363a7c0bc9ce9db106e4cbd0d8f,00651ed4b9ec7162dab6d8b9bb047613,ftn2016-0441,69dfa698284fa55634637a6e85084a07,Completed,traffic stop,poor,clear conditions,,use of force authorized,b platoon,5th district,,field operations bureau,canine (no bite),l2,yes,48,30,No,new-orleans-pd,resisted officer with weapon
8366cc844c37a306570afaf9cc541c71,007beb324e4aa8859c4b4ca7ecf2e613,ftn2017-0500,e44a38a3d5301e762d6e37e2370890ab,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force authorized,b platoon,5th district,patrol,field operations bureau,hands,l1,yes,26,5,No,new-orleans-pd,resisted lawful arrest
14bd19f63acfbe4256fc738e053f04f6,008455e110404931e9d565eee8988552,ftn2019-0316,36ca02914eb8252dbe680569140479e8,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified with training,c platoon,7th district,patrol,field operations bureau,hands,l1,no,26,5,No,new-orleans-pd,refused verbal commands
c70e0ef2ebb5e86cdfb4b1ae68dae27e,0086b8e4b1de33d524b5c7a2bad059d5,ftn2017-0414,d252c63ab44cc87e191a6088ace88691,Completed,pedestrian stop,good,clear conditions,between 7am-3pm,use of force authorized,k9,special operations,,field operations bureau,canine (contact),l3,yes,58,15,No,new-orleans-pd,flight from an officer
926cc7154e61373aa0f6c268f7d7a86e,009878dac5c41ca90b363b28193c4848,ftn2019-0242,b801a03f5b84643a739a061bec2945f8,Completed,serving a warrant,poor,clear conditions,between 11pm-7am,use of force justified,tactical,special operations,1st platoon,field operations bureau,firearm (exhibited),l1,yes,32,9,No,new-orleans-pd,tactical deployments
3df0ebc6d18b5d5caa0d4ab90e346bd4,00c772335e6b571b90d61f75d4c94646,ftn2019-0104,9e93298f469d007bc448ecd48933085a,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,2nd district,patrol,field operations bureau,takedown (no injury),l1,yes,34,3,No,new-orleans-pd,flight from an officer
65ca05f3b63f7d7383662d1275b0804f,00de5951e30c2b108e1c138094285638,ftn2016-0583,db4dc19e69d39700cf4c8fed24b42171,Completed,call for service,poor,other,,use of force authorized,8th district,8th district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,29,7,No,new-orleans-pd,refused verbal commands
